sample_name,file_name,original_genome,genome,exp_protocol,cell_type,tissue,antibody,treatment,data_source,GSE,GSM,description,format
AML_db11_hg38toHg19,GSM2827349_ENCFF196DNQ_peaks_GRCh38.bed.gz,hg38,hg19,ChiPseq,GM12878,,IKZF1,None,GEO,GSE105587,GSM2827349,IKZF1 ChIP-seq on human GM12878,bed
AML_db12_hg38toHg19,GSM2827350_ENCFF928JXU_peaks_GRCh38.bed.gz,hg38,hg19,ChiPseq,GM12878,,IKZF1,None,GEO,GSE105587,GSM2827350,IKZF1 ChIP-seq on human GM12878,bed
AML_db13_hg38toHg19,GSM2828856_ENCFF275MZN_peaks_GRCh38.bed.gz,hg38,hg19,ChiPseq,HEK293,,GLI2,None,GEO,GSE105977,GSM2828856,eGFP-GLI2 ChIP-seq on human HEK293 cells,bed
AML_db14_hg38toHg19,GSM2828857_ENCFF323MNK_peaks_GRCh38.bed.gz,hg38,hg19,ChiPseq,HEK293,,GLI2,None,GEO,GSE105977,GSM2828857,eGFP-GLI2 ChIP-seq on human HEK293 cells,bed
AML_db15_hg38toHg19,GSM3316846_AML_P1_Dx_H3K27ac_peaks.narrowPeak.gz,hg38,hg19,ChiPseq,,Bone marrow,H3K27ac,None,GEO,GSE117994,GSM3316846,acute myeloid leukemia initial diagnosis,bed
AML_db16_hg38toHg19,GSM3316847_AML_P2_Dx_H3K27ac_peaks.narrowPeak.gz,hg38,hg19,ChiPseq,,Bone marrow,H3K27ac,None,GEO,GSE117994,GSM3316847,acute myeloid leukemia initial diagnosis,bed
AML_db17_hg38toHg19,GSM3316848_AML_P3_Dx_H3K27ac_peaks.narrowPeak.gz,hg38,hg19,ChiPseq,,Peripheral blood,H3K27ac,None,GEO,GSE117994,GSM3316848,acute myeloid leukemia initial diagnosis,bed
AML_db18_hg38toHg19,GSM3316849_AML_P4_Dx_H3K27ac_peaks.narrowPeak.gz,hg38,hg19,ChiPseq,,Bone marrow,H3K27ac,None,GEO,GSE117994,GSM3316849,acute myeloid leukemia initial diagnosis,bed
AML_db19_hg38toHg19,GSM3316850_AML_P5_Dx_H3K27ac_peaks.narrowPeak.gz,hg38,hg19,ChiPseq,,Bone marrow,H3K27ac,None,GEO,GSE117994,GSM3316850,acute myeloid leukemia initial diagnosis,bed
AML_db20_hg38toHg19,GSM3316851_AML_P6_Dx_H3K27ac_peaks.narrowPeak.gz,hg38,hg19,ChiPseq,,Bone marrow,H3K27ac,None,GEO,GSE117994,GSM3316851,acute myeloid leukemia initial diagnosis,bed
AML_db21_hg38toHg19,GSM3316852_AML_P7_Dx_H3K27ac_peaks.narrowPeak.gz,hg38,hg19,ChiPseq,,Bone marrow,H3K27ac,None,GEO,GSE117994,GSM3316852,acute myeloid leukemia initial diagnosis,bed
AML_db22_hg38toHg19,GSM3316853_AML_P8_Dx_H3K27ac_peaks.narrowPeak.gz,hg38,hg19,ChiPseq,,Bone marrow,H3K27ac,None,GEO,GSE117994,GSM3316853,acute myeloid leukemia initial diagnosis,bed
AML_db23_hg38toHg19,GSM3316854_AML_P9_Dx_H3K27ac_peaks.narrowPeak.gz,hg38,hg19,ChiPseq,,Peripheral blood,H3K27ac,None,GEO,GSE117994,GSM3316854,acute myeloid leukemia initial diagnosis,bed
AML_db24_hg38toHg19,GSM3316855_AML_P10_Dx_H3K27ac_peaks.narrowPeak.gz,hg38,hg19,ChiPseq,,Peripheral blood,H3K27ac,None,GEO,GSE117994,GSM3316855,acute myeloid leukemia initial diagnosis,bed
AML_db25_hg38toHg19,GSM3316856_AML_P11_Dx_H3K27ac_peaks.narrowPeak.gz,hg38,hg19,ChiPseq,,Peripheral blood,H3K27ac,None,GEO,GSE117994,GSM3316856,acute myeloid leukemia initial diagnosis,bed
AML_db26_hg38toHg19,GSM3316857_AML_P12_Dx_H3K27ac_peaks.narrowPeak.gz,hg38,hg19,ChiPseq,,Bone marrow,H3K27ac,None,GEO,GSE117994,GSM3316857,acute myeloid leukemia initial diagnosis,bed
AML_db27_hg38toHg19,GSM3316858_AML_P13_Dx_H3K27ac_peaks.narrowPeak.gz,hg38,hg19,ChiPseq,,Bone marrow,H3K27ac,None,GEO,GSE117994,GSM3316858,acute myeloid leukemia initial diagnosis,bed
AML_db28_hg38toHg19,GSM3316859_AML_P14_Dx_H3K27ac_peaks.narrowPeak.gz,hg38,hg19,ChiPseq,,Peripheral blood,H3K27ac,None,GEO,GSE117994,GSM3316859,acute myeloid leukemia initial diagnosis,bed
AML_db29_hg38toHg19,GSM3316860_AML_P15_Dx_H3K27ac_peaks.narrowPeak.gz,hg38,hg19,ChiPseq,,Bone marrow,H3K27ac,None,GEO,GSE117994,GSM3316860,acute myeloid leukemia initial diagnosis,bed
AML_db30_hg38toHg19,GSM3316861_AML_P16_Dx_H3K27ac_peaks.narrowPeak.gz,hg38,hg19,ChiPseq,,Bone marrow,H3K27ac,None,GEO,GSE117994,GSM3316861,acute myeloid leukemia initial diagnosis,bed
AML_db31_hg38toHg19,GSM3316862_AML_P16_Rel_H3K27ac_peaks.narrowPeak.gz,hg38,hg19,ChiPseq,,Bone marrow,H3K27ac,None,GEO,GSE117994,GSM3316862,acute myeloid leukemia relapse ,bed
AML_db32_hg38toHg19,GSM3316863_AML_P17_Dx_H3K27ac_peaks.narrowPeak.gz,hg38,hg19,ChiPseq,,Bone marrow,H3K27ac,None,GEO,GSE117994,GSM3316863,acute myeloid leukemia initial diagnosis,bed
AML_db33_hg38toHg19,GSM3316864_AML_P18_Dx_H3K27ac_peaks.narrowPeak.gz,hg38,hg19,ChiPseq,,Bone marrow,H3K27ac,None,GEO,GSE117994,GSM3316864,acute myeloid leukemia initial diagnosis,bed
AML_db34_hg38toHg19,GSM3316865_AML_P19_Rel_H3K27ac_peaks.narrowPeak.gz,hg38,hg19,ChiPseq,,Bone marrow,H3K27ac,None,GEO,GSE117994,GSM3316865,acute myeloid leukemia relapse ,bed
AML_db35_hg38toHg19,GSM3316866_AML_P20_Dx_H3K27ac_peaks.narrowPeak.gz,hg38,hg19,ChiPseq,,Bone marrow,H3K27ac,None,GEO,GSE117994,GSM3316866,acute myeloid leukemia initial diagnosis,bed
AML_db36_hg38toHg19,GSM3316867_AML_P20_Rel_H3K27ac_peaks.narrowPeak.gz,hg38,hg19,ChiPseq,,Bone marrow,H3K27ac,None,GEO,GSE117994,GSM3316867,acute myeloid leukemia relapse ,bed
AML_db37_hg38toHg19,GSM3316868_AML_P21_Dx_H3K27ac_peaks.narrowPeak.gz,hg38,hg19,ChiPseq,,Peripheral blood,H3K27ac,None,GEO,GSE117994,GSM3316868,acute myeloid leukemia initial diagnosis,bed
AML_db38_hg38toHg19,GSM3316869_AML_P21_Rel_H3K27ac_peaks.narrowPeak.gz,hg38,hg19,ChiPseq,,Peripheral blood,H3K27ac,None,GEO,GSE117994,GSM3316869,acute myeloid leukemia relapse ,bed
AML_db39_hg38toHg19,GSM3316870_AML_P22_Dx_H3K27ac_peaks.narrowPeak.gz,hg38,hg19,ChiPseq,,Peripheral blood,H3K27ac,None,GEO,GSE117994,GSM3316870,acute myeloid leukemia initial diagnosis,bed
AML_db40_hg38toHg19,GSM3316871_AML_P22_Rel_H3K27ac_peaks.narrowPeak.gz,hg38,hg19,ChiPseq,,Bone marrow,H3K27ac,None,GEO,GSE117994,GSM3316871,acute myeloid leukemia relapse ,bed
AML_db41_hg38toHg19,GSM3316872_AML_P23_Dx_H3K27ac_peaks.narrowPeak.gz,hg38,hg19,ChiPseq,,Bone marrow,H3K27ac,None,GEO,GSE117994,GSM3316872,acute myeloid leukemia initial diagnosis,bed
AML_db42_hg38toHg19,GSM3316873_AML_P23_Rel_H3K27ac_peaks.narrowPeak.gz,hg38,hg19,ChiPseq,,Bone marrow,H3K27ac,None,GEO,GSE117994,GSM3316873,acute myeloid leukemia relapse ,bed
AML_db43_hg38toHg19,GSM3316874_AML_P24_Dx_H3K27ac_peaks.narrowPeak.gz,hg38,hg19,ChiPseq,,Bone marrow,H3K27ac,None,GEO,GSE117994,GSM3316874,acute myeloid leukemia initial diagnosis,bed
AML_db44_hg38toHg19,GSM3316875_AML_P24_Rel_H3K27ac_peaks.narrowPeak.gz,hg38,hg19,ChiPseq,,Bone marrow,H3K27ac,None,GEO,GSE117994,GSM3316875,acute myeloid leukemia relapse ,bed
AML_db45_hg38toHg19,GSM3316876_AML_P25_Dx_H3K27ac_peaks.narrowPeak.gz,hg38,hg19,ChiPseq,,Peripheral blood,H3K27ac,None,GEO,GSE117994,GSM3316876,acute myeloid leukemia initial diagnosis,bed
AML_db46_hg38toHg19,GSM3316877_AML_P25_Rel_H3K27ac_peaks.narrowPeak.gz,hg38,hg19,ChiPseq,,Peripheral blood,H3K27ac,None,GEO,GSE117994,GSM3316877,acute myeloid leukemia relapse ,bed
AML_db47_hg38toHg19,GSM3316878_AML_P26_Dx_H3K27ac_peaks.narrowPeak.gz,hg38,hg19,ChiPseq,,Bone marrow,H3K27ac,None,GEO,GSE117994,GSM3316878,acute myeloid leukemia initial diagnosis,bed
AML_db48_hg38toHg19,GSM3316879_AML_P26_Rel_H3K27ac_peaks.narrowPeak.gz,hg38,hg19,ChiPseq,,Bone marrow,H3K27ac,None,GEO,GSE117994,GSM3316879,acute myeloid leukemia relapse ,bed
AML_db49_hg38toHg19,GSM3316880_AML_P27_Dx_H3K27ac_peaks.narrowPeak.gz,hg38,hg19,ChiPseq,,Bone marrow,H3K27ac,None,GEO,GSE117994,GSM3316880,acute myeloid leukemia initial diagnosis,bed
AML_db50_hg38toHg19,GSM3316881_AML_P27_Rel_H3K27ac_peaks.narrowPeak.gz,hg38,hg19,ChiPseq,,Bone marrow,H3K27ac,None,GEO,GSE117994,GSM3316881,acute myeloid leukemia relapse ,bed
AML_db301_hg38toHg19,GSE105587_ENCFF173EHE_conservative_idr_thresholded_peaks_GRCh38.bigBed,hg38,hg19,ChiPseq,GM12878,,IKZF1,None,GEO,GSE105587,,IKZF1 ChIP-seq on human GM12878,bigBed
AML_db302_hg38toHg19,GSE105587_ENCFF486OQM_peaks_GRCh38.bigBed,hg38,hg19,ChiPseq,GM12878,,IKZF1,None,GEO,GSE105587,,IKZF1 ChIP-seq on human GM12878,bigBed
AML_db303_hg38toHg19,GSE105977_ENCFF020OCD_optimal_idr_thresholded_peaks_GRCh38.bigBed,hg38,hg19,ChiPseq,HEK293,,GLI2,None,GEO,GSE105977,,HEK293 cell line stably expressing N-terminal tagged eGFP-GLI2 under the control of a CMV promoter,bigBed
AML_db304_hg38toHg19,GSE105977_ENCFF132NUE_conservative_idr_thresholded_peaks_GRCh38.bigBed,hg38,hg19,ChiPseq,HEK293,,GLI2,None,GEO,GSE105977,,HEK293 cell line stably expressing N-terminal tagged eGFP-GLI2 under the control of a CMV promoter,bigBed
AML_db305_hg38toHg19,GSE105977_ENCFF390LXD_peaks_GRCh38.bigBed,hg38,hg19,ChiPseq,HEK293,,GLI2,None,GEO,GSE105977,,HEK293 cell line stably expressing N-terminal tagged eGFP-GLI2 under the control of a CMV promoter,bigBed
AML_db306_hg38toHg19,GSE91663_ENCFF048SFX_conservative_idr_thresholded_peaks_GRCh38.bigBed,hg38,hg19,ChiPseq, K562,Lung , ZEB2,None,GEO,GSE91663 ,,ZEB2 ChIP-seq on human K562 (ENCODE),bigBed
AML_db307_hg38toHg19,GSE91663_ENCFF147ZDD_peaks_GRCh38.bigBed,hg38,hg19,ChiPseq, K562, Lung, ZEB2,None,GEO,GSE91663,,ZEB2 ChIP-seq on human K562 (ENCODE),bigBed
AML_db308_hg38toHg19,GSE91663_ENCFF311HAR_optimal_idr_thresholded_peaks_GRCh38.bigBed,hg38,hg19,ChiPseq, K562, Lung, ZEB2,None,GEO,GSE91663,,ZEB2 ChIP-seq on human K562 (ENCODE),bigBed
AML_db309_hg38toHg19,GSM2423312_ENCFF061VHJ_peaks_GRCh38.bigBed,hg38,hg19,ChiPseq, K562, Lung, ZEB2,None,GEO,GSE91663,GSM2423312,K562 established from pleural effusion of 53 year old female with chronic myelogenous leukemia,bigBed
AML_db310_hg38toHg19,GSM2423313_ENCFF116CHF_peaks_GRCh38.bigBed,hg38,hg19,ChiPseq, K562, Lung, ZEB2,None,GEO,GSE91663,GSM2423313,K562 established from pleural effusion of 53 year old female with chronic myelogenous leukemia,bigBed
AML_db311_hg38toHg19,GSM2827349_ENCFF475NYK_peaks_GRCh38.bigBed,hg38,hg19,ChiPseq,GM12878,,IKZF1,None,GEO,GSE105587,GSM2827349,IKZF1 ChIP-seq on human GM12878,bigBed
AML_db312_hg38toHg19,GSM2827350_ENCFF194OGF_peaks_GRCh38.bigBed,hg38,hg19,ChiPseq,GM12878,,IKZF1,None,GEO,GSE105587,GSM2827350,IKZF1 ChIP-seq on human GM12878,bigBed
AML_db313_hg38toHg19,GSM2828856_ENCFF354SKU_peaks_GRCh38.bigBed,hg38,hg19,ChiPseq,HEK293,,GLI2,None,GEO,GSE105977,GSM2828856,eGFP-GLI2 ChIP-seq on human HEK293 cells,bigBed
AML_db314_hg38toHg19,GSM2828857_ENCFF177GOW_peaks_GRCh38.bigBed,hg38,hg19,ChiPseq,HEK293,,GLI2,None,GEO,GSE105977,GSM2828857,eGFP-GLI2 ChIP-seq on human HEK293 cells,bigBed
AML_db315_hg38toHg19,GSE105587_ENCFF036HEK_signal_p-value_GRCh38.bigWig,hg38,hg19,ChiPseq,GM12878,,IKZF1,None,GEO,GSE105587,,IKZF1 ChIP-seq on human GM12878,bigWig
AML_db316_hg38toHg19,GSE105587_ENCFF828IPR_fold_change_over_control_GRCh38.bigWig,hg38,hg19,ChiPseq,GM12878,,IKZF1,None,GEO,GSE105587,,IKZF1 ChIP-seq on human GM12878,bigWig
AML_db317_hg38toHg19,GSE105977_ENCFF100PJN_fold_change_over_control_GRCh38.bigWig,hg38,hg19,ChiPseq,HEK293,,GLI2,None,GEO,GSE105977,,HEK293 cell line stably expressing N-terminal tagged eGFP-GLI2 under the control of a CMV promoter,bigWig
AML_db318_hg38toHg19,GSE105977_ENCFF978MNE_signal_p-value_GRCh38.bigWig,hg38,hg19,ChiPseq,HEK293,,GLI2,None,GEO,GSE105977,,HEK293 cell line stably expressing N-terminal tagged eGFP-GLI2 under the control of a CMV promoter,bigWig
AML_db319_hg38toHg19,GSE91663_ENCFF498ZJU_fold_change_over_control_GRCh38.bigWig,hg38,hg19,ChiPseq, K562,Lung , ZEB2,None,GEO,GSE91663 ,,ZEB2 ChIP-seq on human K562 (ENCODE),bigWig
AML_db320_hg38toHg19,GSE91663_ENCFF782FQH_signal_p-value_GRCh38.bigWig,hg38,hg19,ChiPseq, K562, Lung, ZEB2,None,GEO,GSE91663,,ZEB2 ChIP-seq on human K562 (ENCODE),bigWig
AML_db321_hg38toHg19,GSM2326835_Anti-EVI1_sKH1_ChIPseq.bw ,hg38,hg19,ChiPseq,SKH-1,,EVI1,None,GEO,GSE87283,GSM2326835,RUNX1-ETO and RUNX1-EVI-1 differentially program the chromatin landscape,bigWig
AML_db322_hg38toHg19,GSM2326836_Anti-Runx1_sKH1_ChIPseq.bw,hg38,hg19,ChiPseq,SKH-1,,RUNX1,None,GEO,GSE87283,GSM2326836,RUNX1-ETO and RUNX1-EVI-1 differentially program the chromatin landscape,bigWig
AML_db323_hg38toHg19,GSM2326837_sKH1_EVI1_SIMM_D10_ChIPseq.bw,hg38,hg19,ChiPseq,SKH-1,,EVI1,Mismatch control 10 days,GEO,GSE87283,GSM2326837,RUNX1-ETO and RUNX1-EVI-1 differentially program the chromatin landscape,bigWig
AML_db324_hg38toHg19,GSM2326838_sKH1_EVI1_SIREVI1_D10_ChIPseq.bw,hg38,hg19,ChiPseq,SKH-1,,EVI1,RUNX1-EVI1 KD after 10 days,GEO,GSE87283,GSM2326838,RUNX1-ETO and RUNX1-EVI-1 differentially program the chromatin landscape,bigWig
AML_db325_hg38toHg19,GSM2326839_sKH1_RUNX1_SIMM_D10_ChIPseq.bw,hg38,hg19,ChiPseq,SKH-1,,RUNX1,Mismatch control 10 days,GEO,GSE87283,GSM2326839,RUNX1-ETO and RUNX1-EVI-1 differentially program the chromatin landscape,bigWig
AML_db326_hg38toHg19,GSM2326840_sKH1_RUNX1_SIREVI1_D10_ChIPseq.bw,hg38,hg19,ChiPseq,SKH-1,,RUNX1,RUNX1-EVI1 KD after 10 days,GEO,GSE87283,GSM2326840,RUNX1-ETO and RUNX1-EVI-1 differentially program the chromatin landscape,bigWig
AML_db327_hg38toHg19,GSM2326841_sKH1_CEBPA_SIMM_D10_ChIPseq.bw,hg38,hg19,ChiPseq,SKH-1,,CEBPA,mismatch control 10 days,GEO,GSE87283,GSM2326841,RUNX1-ETO and RUNX1-EVI-1 differentially program the chromatin landscape,bigWig
AML_db328_hg38toHg19,GSM2326842_sKH1_CEBPA_SIREVI1_D10_ChIPseq.bw,hg38,hg19,ChiPseq,SKH-1,,CEBPA,RUNX1-EVI1 KD after 10 days,GEO,GSE87283,GSM2326842,RUNX1-ETO and RUNX1-EVI-1 differentially program the chromatin landscape,bigWig
AML_db329_hg38toHg19,GSM2423312_ENCFF445THV_fold_change_over_control_GRCh38.bigWig,hg38,hg19,ChiPseq, K562, Lung, ZEB2,None,GEO,GSE91663,GSM2423312,K562 established from pleural effusion of 53 year old female with chronic myelogenous leukemia,bigWig
AML_db330_hg38toHg19,GSM2423312_ENCFF490NGF_signal_p-value_GRCh38.bigWig,hg38,hg19,ChiPseq, K562, Lung, ZEB2,None,GEO,GSE91663,GSM2423312,K562 established from pleural effusion of 53 year old female with chronic myelogenous leukemia,bigWig
AML_db331_hg38toHg19,GSM2423313_ENCFF058YNG_signal_p-value_GRCh38.bigWig,hg38,hg19,ChiPseq, K562, Lung, ZEB2,None,GEO,GSE91663,GSM2423313,K562 established from pleural effusion of 53 year old female with chronic myelogenous leukemia,bigWig
AML_db332_hg38toHg19,GSM2423313_ENCFF870HUB_fold_change_over_control_GRCh38.bigWig,hg38,hg19,ChiPseq, K562, Lung, ZEB2,None,GEO,GSE91663,GSM2423313,K562 established from pleural effusion of 53 year old female with chronic myelogenous leukemia,bigWig
AML_db333_hg38toHg19,GSM2494984_GATA2-CTRL-sKH1.wig.gz,hg38,hg19,ChiPseq,SKH-1,,GATA2,mismatch control ,GEO,GSE87283,GSM2494984,RUNX1-ETO and RUNX1-EVI-1 differentially program the chromatin landscape,wig
AML_db334_hg38toHg19,GSM2494985_GATA2-RUNX1EVI1-KD-sKH1.wig.gz,hg38,hg19,ChiPseq,SKH-1,,GATA2,RUNX1-EVI1 KD,GEO,GSE87283,GSM2494985,RUNX1-ETO and RUNX1-EVI-1 differentially program the chromatin landscape,wig
AML_db335_hg38toHg19,GSM2827349_ENCFF459IKA_signal_p-value_GRCh38.bigWig,hg38,hg19,ChiPseq,GM12878,,IKZF1,None,GEO,GSE105587,GSM2827349,IKZF1 ChIP-seq on human GM12878,bigWig
AML_db336_hg38toHg19,GSM2827349_ENCFF702TJG_fold_change_over_control_GRCh38.bigWig,hg38,hg19,ChiPseq,GM12878,,IKZF1,None,GEO,GSE105587,GSM2827349,IKZF1 ChIP-seq on human GM12878,bigWig
AML_db337_hg38toHg19,GSM2827350_ENCFF451ABM_signal_p-value_GRCh38.bigWig,hg38,hg19,ChiPseq,GM12878,,IKZF1,None,GEO,GSE105587,GSM2827350,IKZF1 ChIP-seq on human GM12878,bigWig
AML_db338_hg38toHg19,GSM2827350_ENCFF736LSE_fold_change_over_control_GRCh38.bigWig,hg38,hg19,ChiPseq,GM12878,,IKZF1,None,GEO,GSE105587,GSM2827350,IKZF1 ChIP-seq on human GM12878,bigWig
AML_db339_hg38toHg19,GSM2827350_ENCFF736LSE_fold_change_over_control_GRCh38.bigWig,hg38,hg19,ChiPseq,GM12878,,IKZF1,None,GEO,GSE105587,GSM2827350,IKZF1 ChIP-seq on human GM12878,bigWig
AML_db340_hg38toHg19,GSM2828856_ENCFF673ZXX_signal_p-value_GRCh38.bigWig,hg38,hg19,ChiPseq,HEK293,,GLI2,None,GEO,GSE105977,GSM2828856,eGFP-GLI2 ChIP-seq on human HEK293 cells,bigWig
AML_db341_hg38toHg19,GSM2828857_ENCFF401LPM_fold_change_over_control_GRCh38.bigWig,hg38,hg19,ChiPseq,HEK293,,GLI2,None,GEO,GSE105977,GSM2828857,eGFP-GLI2 ChIP-seq on human HEK293 cells,bigWig
AML_db342_hg38toHg19,GSM2828857_ENCFF921AJM_signal_p-value_GRCh38.bigWig,hg38,hg19,ChiPseq,HEK293,,GLI2,None,GEO,GSE105977,GSM2828857,eGFP-GLI2 ChIP-seq on human HEK293 cells,bigWig
AML_db343_hg38toHg19,GSM3057090_TS52_1_DMSO_9_H3K9ac.bw,hg38,hg19,ChiPseq,THP1,,H3K9ac,DMSO,GEO,GSE112074,GSM3057090,Inhibitors of LSD1 target demethylase-independent activity to induce differentiation in acute myeloid leukemia,bigWig
AML_db344_hg38toHg19,GSM3057091_TS52_2_OG86_10_H3K9ac.bw,hg38,hg19,ChiPseq,THP1,,H3K9ac,250nM OG86,GEO,GSE112074,GSM3057091,Inhibitors of LSD1 target demethylase-independent activity to induce differentiation in acute myeloid leukemia,bigWig
AML_db345_hg38toHg19,GSM3057092_TS52_3_DMSO_11_H3K27ac.bw,hg38,hg19,ChiPseq,THP1,,H3K27ac,DMSO,GEO,GSE112074,GSM3057092,Inhibitors of LSD1 target demethylase-independent activity to induce differentiation in acute myeloid leukemia,bigWig
AML_db346_hg38toHg19,GSM3057093_TS52_4_OG86_12_H3K27ac.bw,hg38,hg19,ChiPseq,THP1,,H3K27ac,250nM OG86,GEO,GSE112074,GSM3057093,Inhibitors of LSD1 target demethylase-independent activity to induce differentiation in acute myeloid leukemia,bigWig
AML_db347_hg38toHg19,GSM3057094_TS50_1_DMSO_1_RCOR1.bw,hg38,hg19,ChiPseq,THP1,,RCOR1,DMSO,GEO,GSE112074,GSM3057094,Inhibitors of LSD1 target demethylase-independent activity to induce differentiation in acute myeloid leukemia,bigWig
AML_db348_hg38toHg19,GSM3057095_TS50_2_OG86_2_RCOR1.bw,hg38,hg19,ChiPseq,THP1,,RCOR1,250nM OG86,GEO,GSE112074,GSM3057095,Inhibitors of LSD1 target demethylase-independent activity to induce differentiation in acute myeloid leukemia,bigWig
AML_db349_hg38toHg19,GSM3057096_TS50_3_DMSO_3_SPI1.bw,hg38,hg19,ChiPseq,THP1,,SPI1,DMSO,GEO,GSE112074,GSM3057096,Inhibitors of LSD1 target demethylase-independent activity to induce differentiation in acute myeloid leukemia,bigWig
AML_db350_hg38toHg19,GSM3057097_TS50_4_OG86_4_SPI1.bw,hg38,hg19,ChiPseq,THP1,,SPI1,250nM OG86,GEO,GSE112074,GSM3057097,Inhibitors of LSD1 target demethylase-independent activity to induce differentiation in acute myeloid leukemia,bigWig
AML_db351_hg38toHg19,GSM3057098_TS50_7_DMSO_7_MLL4.bw,hg38,hg19,ChiPseq,THP1,,MLL4,DMSO,GEO,GSE112074,GSM3057098,Inhibitors of LSD1 target demethylase-independent activity to induce differentiation in acute myeloid leukemia,bigWig
AML_db352_hg38toHg19,GSM3057099_TS50_8_OG86_8_MLL4.bw,hg38,hg19,ChiPseq,THP1,,MLL4,250nM OG86,GEO,GSE112074,GSM3057099,Inhibitors of LSD1 target demethylase-independent activity to induce differentiation in acute myeloid leukemia,bigWig
AML_db51_hg19toHg38,GSE105587_ENCFF413ANK_peaks_hg19.bed.gz,hg19,hg38,ChiPseq,GM12878,,IKZF1,None,GEO,GSE105587,,IKZF1 ChIP-seq on human GM12878,bed
AML_db52_hg19toHg38,GSE105587_ENCFF809OOE_conservative_idr_thresholded_peaks_hg19.bed.gz,hg19,hg38,ChiPseq,GM12878,,IKZF1,None,GEO,GSE105587,,IKZF1 ChIP-seq on human GM12878,bed
AML_db53_hg19toHg38,GSE105977_ENCFF449EZT_optimal_idr_thresholded_peaks_hg19.bed.gz,hg19,hg38,ChiPseq,HEK293,,GLI2,None,GEO,GSE105977,,HEK293 cell line stably expressing N-terminal tagged eGFP-GLI2 under the control of a CMV promoter,bed
AML_db54_hg19toHg38,GSE105977_ENCFF634NTU_peaks_hg19.bed.gz ,hg19,hg38,ChiPseq,HEK293,,GLI2,None,GEO,GSE105977,,HEK293 cell line stably expressing N-terminal tagged eGFP-GLI2 under the control of a CMV promoter,bed
AML_db55_hg19toHg38,GSE105977_ENCFF767YXX_conservative_idr_thresholded_peaks_hg19.bed.gz,hg19,hg38,ChiPseq,HEK293,,GLI2,None,GEO,GSE105977,,HEK293 cell line stably expressing N-terminal tagged eGFP-GLI2 under the control of a CMV promoter,bed
AML_db56_hg19toHg38,GSE73207_rad21_mut_gata2_merge_peaks.narrowPeak.gz,hg19,hg38,ChiPseq,TF1,,GATA2,RAD21 Q592*,GEO,GSE73207,,Chip-Seq in erythroleukemia cells transduced with vector expression of RAD21 after 6 days DOX induction,bed
